RGIId,ELA
RGI60-13.05212,3791
RGI60-13.05236,4059
RGI60-13.05323,3697
RGI60-13.05325,3898
RGI60-13.05389,3810
RGI60-13.05392,3882
RGI60-13.05435,3810
RGI60-13.05455,3862
RGI60-13.05465,3876.510422
RGI60-13.05478,3866.739287
RGI60-13.05479,3569
RGI60-13.05480,3943
RGI60-13.05481,3629
RGI60-13.05488,3993.174488
RGI60-13.05500,3637
RGI60-13.05502,3365
RGI60-13.05504,4191
RGI60-13.05516,4054
RGI60-13.05521,3889
RGI60-13.05537,4111
RGI60-13.05540,4032
RGI60-13.05561,3816
RGI60-13.05562,3764
RGI60-13.05573,3441
RGI60-13.05578,3552
RGI60-13.05579,3469
RGI60-13.05636,3795
RGI60-13.05638,3775
RGI60-13.05651,3862
RGI60-13.05656,3750
RGI60-13.05671,3868.688161
RGI60-13.05712,3768
RGI60-13.05736,3675
RGI60-13.05816,4106
RGI60-13.05827,4206
RGI60-13.05828,4103
RGI60-13.05832,4227
RGI60-13.05840,4183
RGI60-13.05862,4396
RGI60-13.05875,4569
RGI60-13.05897,4891
RGI60-13.05903,4494
RGI60-13.05917,4574
RGI60-13.05924,4251
RGI60-13.05930,4319
RGI60-13.05937,4162
RGI60-13.05948,4259
RGI60-13.05971,4150
RGI60-13.05978,4263
RGI60-13.05982,4663
RGI60-13.06012,4212
RGI60-13.06047,4879
RGI60-13.06052,4671
RGI60-13.06060,4787.429612
RGI60-13.06100,4295
RGI60-13.06145,4664
RGI60-13.06146,4392
RGI60-13.06157,4281
RGI60-13.06199,4302
RGI60-13.06208,4082
RGI60-13.06218,4212
RGI60-13.06240,4208
RGI60-13.06251,4215
RGI60-13.06266,4980
RGI60-13.06297,4749
RGI60-13.06299,4207
RGI60-13.06301,4388
RGI60-13.06359,4622
RGI60-13.06361,4048
RGI60-13.06398,4218
RGI60-13.06401,4192
RGI60-13.06413,4571
RGI60-13.06421,4238
RGI60-13.06424,4185
RGI60-13.06425,4439
RGI60-13.06426,4109
RGI60-13.06432,4410
RGI60-13.06438,4586.617957
RGI60-13.06466,3956
RGI60-13.06468,4115
RGI60-13.06472,4093
RGI60-13.06474,4156
RGI60-13.06509,4245
RGI60-13.06532,4083
RGI60-13.06563,4104
RGI60-13.06564,4326
RGI60-13.06567,4507
RGI60-13.06576,4226
RGI60-13.06589,4160
RGI60-13.06591,4195
RGI60-13.06592,4109
RGI60-13.06596,4294
RGI60-13.06608,4241
RGI60-13.06620,4546
RGI60-13.06621,4387
RGI60-13.06638,4317
RGI60-13.06653,4094
RGI60-13.06674,3861
RGI60-13.06684,4178
RGI60-13.06689,4355
RGI60-13.06733,4140
RGI60-13.06740,4240
RGI60-13.06741,4482
RGI60-13.06752,4508
RGI60-13.06756,4407.179567
RGI60-13.06773,4601
RGI60-13.06781,4377
RGI60-13.06792,4405
RGI60-13.06850,4452
RGI60-13.06861,4395
RGI60-13.06868,4172
RGI60-13.06872,4297
RGI60-13.06955,4563.340416
RGI60-13.06988,4173
RGI60-13.07007,4563
RGI60-13.07010,4431
RGI60-13.07062,4748
RGI60-13.07063,4284
RGI60-13.07064,4356
RGI60-13.07076,4656
RGI60-13.07077,4668
RGI60-13.07079,4685
RGI60-13.07084,4910
RGI60-13.07091,4761
RGI60-13.07093,4717
RGI60-13.07133,4554
RGI60-13.07161,4599
RGI60-13.07172,4521
RGI60-13.07179,4168
RGI60-13.07182,4385
RGI60-13.07186,4237
RGI60-13.07204,4690
RGI60-13.07234,4173
RGI60-13.07247,4206
RGI60-13.07258,4148
RGI60-13.07269,4211
RGI60-13.07271,4537
RGI60-13.07282,4795
RGI60-13.07294,4335
RGI60-13.07311,4379
RGI60-13.07339,4097
RGI60-13.07344,4135
RGI60-13.07373,4437
RGI60-13.07374,4636
RGI60-13.07445,4746
RGI60-13.07449,4592
RGI60-13.07498,4549
RGI60-13.07499,3993
RGI60-13.07512,4388
RGI60-13.07513,4261.101482
RGI60-13.07562,4721
RGI60-13.07563,4644.657301
RGI60-13.07574,5645
RGI60-13.07579,5357.088775
RGI60-13.07599,3876
RGI60-13.07604,4252
RGI60-13.07652,4270
RGI60-13.07659,4017
RGI60-13.07728,4416
RGI60-13.07732,4259
RGI60-13.07735,4265
RGI60-13.07738,4005
RGI60-13.07739,4094
RGI60-13.07741,4480
RGI60-13.07743,3826
RGI60-13.07745,4586
RGI60-13.07746,3745
RGI60-13.07748,4633
RGI60-13.07755,4060
RGI60-13.07756,4110
RGI60-13.07763,4541
RGI60-13.07766,3850
RGI60-13.07773,4490
RGI60-13.07789,4487
RGI60-13.07820,4227
RGI60-13.07822,4419
RGI60-13.07833,4538
RGI60-13.07858,4197
RGI60-13.07863,4347
RGI60-13.07864,4225
RGI60-13.07872,4432
RGI60-13.07873,4128
RGI60-13.07875,4014
RGI60-13.07877,4278
RGI60-13.07883,4121
RGI60-13.07891,4147
RGI60-13.07901,4196
RGI60-13.07904,4194
RGI60-13.07906,4052
RGI60-13.07913,4290
RGI60-13.07916,3772
RGI60-13.07920,3842
RGI60-13.07921,3905
RGI60-13.07924,3650
RGI60-13.07925,4109
RGI60-13.07926,4419
RGI60-13.07927,4363
RGI60-13.07930,4251
RGI60-13.07931,4217
RGI60-13.07941,4409
RGI60-13.07946,4540
RGI60-13.07952,4671
RGI60-13.07980,4436.657688
RGI60-13.08031,4258
RGI60-13.08035,4596
RGI60-13.08052,4625
RGI60-13.08054,4672
RGI60-13.08055,4708
RGI60-13.08056,4531
RGI60-13.08062,4279
RGI60-13.08065,4939
RGI60-13.08069,4425
RGI60-13.08073,4211
RGI60-13.08074,4091
RGI60-13.08077,4611
RGI60-13.08078,4794
RGI60-13.08079,4254
RGI60-13.08083,4441
RGI60-13.08084,4327
RGI60-13.08085,4176
RGI60-13.08086,4308
RGI60-13.08087,4233
RGI60-13.08089,5019.271714
RGI60-13.08138,4259
RGI60-13.08144,4689
RGI60-13.08150,4635
RGI60-13.08184,4629
RGI60-13.08190,4755
RGI60-13.08193,4980
RGI60-13.08196,3954
RGI60-13.08253,4735
RGI60-13.08258,4345
RGI60-13.08280,5172
RGI60-13.08284,4142
RGI60-13.08289,5125
RGI60-13.08291,4809
RGI60-13.08297,4325
RGI60-13.08301,4397
RGI60-13.08306,4021
RGI60-13.08335,4738
RGI60-13.08351,4107
RGI60-13.08360,4520.002755
RGI60-13.08368,4351
RGI60-13.08381,4005
RGI60-13.08385,3939
RGI60-13.08386,3869
RGI60-13.08392,3847
RGI60-13.08396,4021
RGI60-13.08443,3824
RGI60-13.08445,4129
RGI60-13.08465,4055
RGI60-13.08471,3965
RGI60-13.08476,3946
RGI60-13.08482,4174
RGI60-13.08504,3933
RGI60-13.08511,4067
RGI60-13.08513,4085
RGI60-13.08519,3956
RGI60-13.08520,3967
RGI60-13.08528,4157.602721
RGI60-13.08529,4283
RGI60-13.08530,4126
RGI60-13.08545,3833
RGI60-13.08551,3785
RGI60-13.08552,3790
RGI60-13.08559,4011
RGI60-13.08562,4099
RGI60-13.08575,4118
RGI60-13.08576,4044
RGI60-13.08579,4124
RGI60-13.08588,4150
RGI60-13.08624,3736
RGI60-13.08629,3894
RGI60-13.08630,3607
RGI60-13.08634,4375
RGI60-13.08635,4356
RGI60-13.08637,4060
RGI60-13.08641,4392.435188
RGI60-13.08643,3820
RGI60-13.08645,4045
RGI60-13.08665,3806
RGI60-13.08672,3811
RGI60-13.08682,4149
RGI60-13.08691,4566
RGI60-13.08695,4097
RGI60-13.08697,4007
RGI60-13.08701,4474
RGI60-13.08703,3967
RGI60-13.08710,3957
RGI60-13.08717,3894
RGI60-13.08722,4460
RGI60-13.08727,4281
RGI60-13.08732,3911
RGI60-13.08737,3886
RGI60-13.08738,3978
RGI60-13.08760,4116
RGI60-13.08770,3859
RGI60-13.08778,3878
RGI60-13.08822,4128
RGI60-13.08823,4635
RGI60-13.08957,4031
RGI60-13.08961,4187
RGI60-13.08967,4253
RGI60-13.08971,4242
RGI60-13.09129,4227
RGI60-13.09142,4065
RGI60-13.09143,4480
RGI60-13.09191,4253
RGI60-13.09195,4391
RGI60-13.09205,4228
RGI60-13.09210,3947
RGI60-13.09214,4019
RGI60-13.09215,4023
RGI60-13.09227,3655
RGI60-13.09228,4483
RGI60-13.09300,NaN
RGI60-13.09315,4210
RGI60-13.09316,4246
RGI60-13.09317,4319
RGI60-13.09318,4303
RGI60-13.09406,4111
RGI60-13.09458,4196
RGI60-13.09462,4432
RGI60-13.09463,4148
RGI60-13.09471,4080
RGI60-13.09472,4153
RGI60-13.09475,4630
RGI60-13.09479,4579
RGI60-13.09482,4240
RGI60-13.09540,4237
RGI60-13.09541,4270
RGI60-13.09547,4132
RGI60-13.09551,4272
RGI60-13.09552,4024
RGI60-13.09561,4448
RGI60-13.09615,NaN
RGI60-13.09616,NaN
RGI60-13.09624,NaN
RGI60-13.09627,NaN
RGI60-13.09718,4250
RGI60-13.09719,4376
RGI60-13.09720,4318
RGI60-13.09732,4194
RGI60-13.09755,4159
RGI60-13.09756,4628
RGI60-13.09761,4249
RGI60-13.09769,4509
RGI60-13.09770,4375
RGI60-13.09783,4085
RGI60-13.09794,4167
RGI60-13.09795,4170
RGI60-13.09802,4307
RGI60-13.09867,4131
RGI60-13.09870,4175
RGI60-13.09895,4023
RGI60-13.09942,NaN
RGI60-13.09962,NaN
RGI60-13.10055,NaN
RGI60-13.10062,NaN
RGI60-13.10093,NaN
RGI60-13.10110,NaN
RGI60-13.10122,NaN
RGI60-13.10143,NaN
RGI60-13.10144,NaN
RGI60-13.10332,NaN
RGI60-13.10334,NaN
RGI60-13.10337,NaN
RGI60-13.10340,NaN
RGI60-13.10345,NaN
RGI60-13.10354,NaN
RGI60-13.10355,NaN
RGI60-13.10361,NaN
RGI60-13.10369,NaN
RGI60-13.10377,NaN
RGI60-13.10477,NaN
RGI60-13.10500,4264
RGI60-13.10506,3995
RGI60-13.10525,4010
RGI60-13.10532,3702
RGI60-13.10541,3699
RGI60-13.10547,4687
RGI60-13.10584,4037
RGI60-13.10587,4611
RGI60-13.10588,NaN
RGI60-13.10624,4499
RGI60-13.10635,3900
RGI60-13.10789,5038
RGI60-13.10822,5238.043678
RGI60-13.10830,5260
RGI60-13.11066,5170.8787
